ndc,year,name
000040186,2018,IBANDRONATE SODIUM
000040188,2010,BONIVA INJECTION
000040188,2010,BONIVA INJECTION KIT
000040188,2012,IBANDRONATE SODIUM
000040239,2006,KYTRIL INJECTION
000040239,2010,KYTRIL INJECTION SINGLE USE VIALS
000040240,2006,KYTRIL INJECTION
000040240,2009,KYTRIL 4 ML MULTI USE INJECTION
000040240,2010,KYTRIL 4 ML MULTI USE INJECTION SOLUTION
000040240,2011,GRANISETRON HYDROCHLORIDE
000040241,2010,KYTRIL TABLETS
000040241,2011,GRANISETRON HYDROCHLORIDE
000040242,2007,KYTRIL INJECTION
000040242,2010,KYTRIL INJECTION SOLUTION
000040244,2010,INVIRASE TABLETS
000040244,2018,SAQUINAVIR MESYLATE
000040245,2010,INVIRASE CAPSULES
000040245,2018,SAQUINAVIR MESYLATE
000040256,2010,XENICAL CAPSULES
000040256,2013,ORLISTAT
000040259,2010,CELLCEPT CAPSULES
000040259,2018,MYCOPHENOLATE MOFETIL
000040260,2010,CELLCEPT TABLETS
000040260,2018,MYCOPHENOLATE MOFETIL
000040261,2010,CELLCEPT ORAL SUSPENSION
000040261,2010,CELLCEPT SUSPENSION ORAL
000040261,2018,MYCOPHENOLATE MOFETIL
000040273,2006,TORADOL TABLETS
000040273,2013,KETOROLAC TROMETHAMINE
000040279,2010,KLONOPIN WAFERS TABLETS
000040279,2011,CLONAZEPAM
000040280,2010,KLONOPIN WAFERS TABLETS
000040280,2011,CLONAZEPAM
000040281,2010,KLONOPIN WAFERS TABLETS
000040281,2012,CLONAZEPAM
000040282,2010,KLONOPIN WAFERS TABLETS
000040282,2012,CLONAZEPAM
000040283,2010,KLONOPIN WAFERS TABLETS
000040283,2012,CLONAZEPAM
000040298,2010,CELLCEPT INJECTION INTRAVENOUS
000040298,2010,CELLCEPT INTRAVENOUS INJECTION
000040298,2018,MYCOPHENOLATE MOFETIL HYDROCHLORIDE
000040350,2009,PEGASYS INJECTABLE SOLUTION
000040350,2010,PEGASYS INJECTION SOLUTION
000040350,2018,PEGINTERFERON ALFA-2A
000040352,2009,PEGASYS PREFILLED SYRINGES CONVIENCE PACK
000040352,2010,PEGASYS INJECTION SOLUTION
000040352,2015,PEGINTERFERON ALFA-2A
000040380,2010,FUZEON KIT
000040380,2012,ENFUVIRTIDE
000040501,2010,ZENAPAX SOLUTION STERILE CONCENTRATE FOR INJECTION
000040501,2011,DACLIZUMAB
000040800,2010,TAMIFLU CAPSULES
000040800,2018,OSELTAMIVIR PHOSPHATE
000040801,2010,TAMIFLU CAPSULES
000040801,2018,OSELTAMIVIR PHOSPHATE
000040802,2010,TAMIFLU CAPSULES
000040802,2018,OSELTAMIVIR PHOSPHATE
000040810,2010,TAMIFLU FOR ORAL SUSPENSION
000040810,2010,TAMIFLU KIT FOR ORAL SUSPENSION
000040810,2012,OSELTAMIVIR PHOSPHATE
000041100,2010,XELODA TABLETS
000041100,2018,CAPECITABINE
000041101,2010,XELODA TABLETS
000041101,2018,CAPECITABINE
000041963,2010,ROCEPHIN INJECTION
000041963,2010,ROCEPHIN POWDER FOR INJECTION
000041963,2015,CEFTRIAXONE SODIUM
000041964,2010,ROCEPHIN INJECTION
000041964,2010,ROCEPHIN POWDER FOR INJECTION
000041964,2015,CEFTRIAXONE SODIUM
000046202,2010,ANAPROX TABLETS
000046202,2010,ANAPROX TABLETS TABLETS
000046202,2016,NAPROXEN SODIUM
000046203,2010,ANAPROX DS TABLETS
000046203,2018,NAPROXEN SODIUM
000046313,2010,NAPROSYN TABLETS
000046313,2016,NAPROXEN
000046314,2010,NAPROSYN TABLETS
000046314,2016,NAPROXEN
000046316,2010,NAPROSYN TABLETS
000046316,2018,NAPROXEN
000046415,2010,EC NAPROSYN TABLETS DELAYED RELEASE
000046415,2018,NAPROXEN
000046416,2010,EC NAPROSYN TABLETS DELAYED RELEASE
000046416,2018,NAPROXEN
000046911,2010,ROMAZICON INJECTION
000046911,2012,FLUMAZENIL
000046912,2010,ROMAZICON INJECTION
000046912,2012,FLUMAZENIL
000046940,2010,CYTOVENE IV INJECTION
000046940,2010,CYTOVENE STERILE POWDER FOR INJECTION
000046940,2018,GANCICLOVIR SODIUM
000049115,2005,ROCALTROL SOLUTION ORAL
000049115,2010,ROCALTROL ORAL SOLUTION
000051970,2010,PREVNAR INJECTION
000051970,2016,PNEUMOCOCCAL 7-VALENT
000051971,2010,PNEUMOCOCCAL 13-VALENT CONJUGATE VACCINE INJECTION
000051971,2018,PNEUMOCOCCAL 13-VALENT CONJUGATE VACCINE
000054665,2002,AMICAR
000054665,2005,AMICAR TABLETS
000055429,2001,NILSTAT
000055429,2002,NYSTATIN ORAL SUSPENSION
000059218,2003,DECLOMYCIN
000059218,2005,DECLOMYCIN TABLETS
000059270,2003,DECLOMYCIN
000059270,2005,DECLOMYCIN TABLETS
000060019,2010,PRINIVIL TABLETS
000060019,2018,LISINOPRIL
000060031,2010,FOSAMAX TABLETS
000060031,2018,ALENDRONATE SODIUM
000060032,2009,STROMECTOL TABLET
000060032,2010,STROMECTOL TABLETS
000060032,2018,IVERMECTIN
000060071,2010,PROPECIA TABLETS
000060071,2018,FINASTERIDE
000060072,2010,PROSCAR TABLETS
000060072,2018,FINASTERIDE
000060077,2010,FOSAMAX TABLETS
000060077,2012,ALENDRONATE SODIUM
000060106,2010,PRINIVIL TABLETS
000060106,2018,LISINOPRIL
000060110,2004,VIOXX TABLET
000060110,2004,VIOXX TABLETS
000060112,2010,JANUVIA TABLETS
000060112,2018,SITAGLIPTIN
000060117,2010,SINGULAIR TABLETS
000060117,2014,MONTELUKAST SODIUM
000060140,2010,PRINZIDE TABLETS
000060140,2012,LISINOPRIL AND HYDROCHLOROTHIAZIDE
000060145,2010,PRINZIDE TABLETS
000060145,2012,LISINOPRIL AND HYDROCHLOROTHIAZIDE
000060173,2002,VASERETIC 5 12.5 TABLETS
000060173,2010,ENALAPRIL MALEATE HYDROCHLOROTHIAZIDE TABLETS
000060207,2010,PRINIVIL TABLETS
000060207,2018,LISINOPRIL
000060221,2010,JANUVIA TABLETS
000060221,2018,SITAGLIPTIN
000060227,2010,ISENTRESS TABLETS
000060227,2018,RALTEGRAVIR
000060266,2010,MAXALT TABLETS
000060266,2018,RIZATRIPTAN BENZOATE
000060267,2010,MAXALT TABLETS
000060267,2018,RIZATRIPTAN BENZOATE
000060270,2010,FOSAMAX PLUS D
000060270,2010,FOSAMAX PLUS D TABLETS
000060270,2018,ALENDRONATE SODIUM AND CHOLECALCIFEROL
000060275,2010,SINGULAIR CHEWABLE TABLETS
000060275,2010,SINGULAIR TABLETS CHEWABLE
000060275,2015,MONTELUKAST SODIUM
000060277,2010,JANUVIA TABLETS
000060277,2018,SITAGLIPTIN
000060461,2010,EMEND CAPSULES
000060461,2018,APREPITANT
000060462,2010,EMEND CAPSULES
000060462,2018,APREPITANT
000060464,2010,EMEND CAPSULES
000060464,2018,APREPITANT
000060533,2012,SITAGLIPTIN PHOSPHATE AND SIMVASTATIN
000060533,2015,SITAGLIPTIN AND SIMVASTATIN
000060535,2012,SITAGLIPTIN PHOSPHATE AND SIMVASTATIN
000060535,2015,SITAGLIPTIN AND SIMVASTATIN
000060537,2012,SITAGLIPTIN PHOSPHATE AND SIMVASTATIN
000060537,2015,SITAGLIPTIN AND SIMVASTATIN
000060543,2010,ZOCOR TABLETS
000060543,2018,SIMVASTATIN
000060568,2010,ZOLINZA CAPSULES
000060568,2018,VORINOSTAT
000060570,2010,CRIXIVAN CAPSULES
000060570,2014,INDINAVIR SULFATE
000060571,2010,CRIXIVAN CAPSULES
000060571,2018,INDINAVIR SULFATE
000060573,2010,CRIXIVAN CAPSULES
000060573,2018,INDINAVIR SULFATE
000060575,2010,JANUMET TABLETS
000060575,2018,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE
000060577,2010,JANUMET TABLETS
000060577,2018,SITAGLIPTIN AND METFORMIN HYDROCHLORIDE
000060606,2009,PRILOSEC CAPSULES
000060606,2010,PRILOSEC CAPSULES DELAYED RELEASE
000060690,2007,DEMSER
000060690,2010,DEMSER CAPSULES
000060705,2006,NOROXIN
000060705,2010,NOROXIN TABLETS
000060705,2015,NORFLOXACIN
000060710,2010,FOSAMAX PLUS D TABLETS
000060710,2018,ALENDRONATE SODIUM AND CHOLECALCIFEROL
000060711,2008,SINGULAIR TABLETS
000060711,2010,SINGULAIR CHEWABLE TABLETS
000060711,2010,SINGULAIR TABLETS CHEWABLE
000060711,2015,MONTELUKAST SODIUM
000060717,2010,HYZAAR TABLETS
000060717,2018,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE
000060720,2002,VASERETIC TABLETS
000060720,2010,ENALAPRIL MALEATE HYDROCHLOROTHIAZIDE TABLETS
000060726,2010,ZOCOR TABLETS
000060726,2018,SIMVASTATIN
000060731,2010,MEVACOR TABLETS
000060731,2016,LOVASTATIN
000060732,2010,MEVACOR TABLETS
000060732,2016,LOVASTATIN
000060735,2010,ZOCOR TABLETS
000060735,2018,SIMVASTATIN
000060740,2010,ZOCOR TABLETS
000060740,2018,SIMVASTATIN
000060742,2009,PRILOSEC CAPSULES
000060742,2010,PRILOSEC CAPSULES DELAYED RELEASE
000060745,2010,HYZAAR TABLETS
000060745,2018,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE
000060747,2010,HAYZAAR TABLETS
000060747,2010,HYZAAR TABLETS
000060747,2018,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE
000060749,2010,ZOCOR TABLETS
000060749,2018,SIMVASTATIN
000060936,2010,FOSAMAX TABLETS
000060936,2012,ALENDRONATE SODIUM
000060942,2010,CLINORIL TABLETS
000060942,2012,SULINDAC
000060951,2010,COZAAR TABLETS
000060951,2018,LOSARTAN POTASSIUM
000060952,2010,COZAAR TABLETS
000060952,2018,LOSARTAN POTASSIUM
000060960,2010,COZAAR TABLETS
000060960,2018,LOSARTAN POTASSIUM
000060963,2010,PEPCID TABLETS
000060963,2013,FAMOTIDINE
000060964,2010,PEPCID TABLETS
000060964,2013,FAMOTIDINE
000063239,2005,DIURIL
000063239,2010,DIURIL SUSPENSION
000063250,2006,DIURIL
000063250,2010,DIURIL INJECTION
000063275,2006,COGENTIN
000063275,2010,COGENTIN INJECTION
000063380,2003,LACRISERT
000063380,2010,LACRISERT INSERTS
000063395,2009,SODIUM AMINOHIPPURATE
000063395,2010,AMINOHIPPURATE SODIUM INJECTION
000063395,2017,AMINOHIPPURATE SODIUM
000063514,2010,PRIMAXIN IV INJECTION
000063514,2017,IMIPENEM AND CILASTATIN SODIUM
000063516,2010,PRIMAXIN IV INJECTION
000063516,2018,IMIPENEM AND CILASTATIN SODIUM
000063519,2010,TRUSOPT OCUMETER OPHTHALMIC SOLUTION
000063519,2018,DORZOLAMIDE HYDROCHLORIDE
000063551,2010,PRIMAXIN IV INJECTION
000063551,2017,IMIPENEM AND CILASTATIN SODIUM
000063552,2010,PRIMAXIN INJECTION
000063552,2017,IMIPENEM AND CILASTATIN SODIUM
000063582,2010,PRIMAXIN IM INJECTION
000063582,2012,IMIPENEM AND CILASTATIN SODIUM
000063628,2010,COSOPT SOLUTION OPHTHALMIC
000063628,2015,DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE
000063800,2010,MAXALT MLT TABLETS
000063800,2018,RIZATRIPTAN BENZOATE
000063801,2008,MAXALT MLT TABLETS
000063801,2010,MAXALT MLT DISINTEGRATING TABLETS
000063801,2018,RIZATRIPTAN BENZOATE
000063822,2010,CANCIDAS FOR INJECTION
000063822,2010,CANCIDAS INJECTION
000063822,2018,CASPOFUNGIN ACETATE
000063823,2010,CANCIDAS INJECTION
000063823,2010,CANCIDAS POWDER FOR INJECTION
000063823,2018,CASPOFUNGIN ACETATE
000063833,2010,FOSAMAX ONCE WEEKLY ORAL SOLUTION
000063833,2013,ALENDRONATE SODIUM
000063841,2010,SINGULAIR CHEWABLE TABLETS
000063841,2010,SINGULAIR GRANULES
000063841,2010,SINGULAIR ORAL GRANULES
000063841,2018,MONTELUKAST SODIUM
000063843,2010,INVANZ INJECTION
000063843,2018,ERTAPENEM SODIUM
000063845,2010,INVANZ FOR IV USE ONLY
000063845,2010,INVANZ INJECTION
000063845,2018,ERTAPENEM SODIUM
000063862,2010,EMEND CAPSULES KIT
000063862,2018,APREPITANT
000063884,2010,EMEND FOR INJECTION
000063884,2015,FOSAPREPITANT DIMEGLUMINE
000064045,2010,GARDASIL INJECTION
000064045,2018,"HUMAN PAPILLOMAVIRUS QUADRIVALENT (TYPES 6, 11, 16, AND 18) VACCINE, RECOMBINANT"
000064047,2010,ROTATEQ
000064047,2010,ROTATEQ SUSPENSION
000064047,2018,"ROTAVIRUS VACCINE, LIVE, ORAL, PENTAVALENT"
000064084,2010,ANTIVENIN LACTRODECTUS MACTANS
000064084,2015,LATRODECTUS MACTANS
000064093,2010,RECOMBIVAX HB HEPATITIS B VACCINE
000064093,2018,HEPATITIS B VACCINE (RECOMBINANT)
000064094,2010,RECOMBIVAX HB HEPATITIS B VACCINE
000064094,2018,HEPATITIS B VACCINE (RECOMBINANT)
000064095,2010,VAQTA HEPATITIS A VACCINE INACTIVATED
000064095,2018,"HEPATITIS A VACCINE, INACTIVATED"
000064096,2008,VAQUTA HEPATITIS A VACCINE INACTIVATED
000064096,2010,VAQTA  HEPATITIS A VACCINE INACTIVATED
000064096,2018,"HEPATITIS A VACCINE, INACTIVATED"
000064109,2010,GARDASIL INJECTION
000064109,2018,"HUMAN PAPILLOMAVIRUS QUADRIVALENT (TYPES 6, 11, 16, AND 18) VACCINE, RECOMBINANT"
000064309,2010,STERILE DILUENT
000064309,2018,STERILE WATER
000064612,2005,ELSPAR
000064612,2010,ELSPAR INJECTION
000064681,2010,M M R VAX II INJECTION
000064681,2018,"MEASLES, MUMPS, AND RUBELLA VIRUS VACCINE LIVE"
000064682,2003,M-M-R II
000064682,2010,M-M-R II FOR INJECTION
000064739,2010,PNEUMOVAX 23 VACCINE INJECTION
000064739,2018,PNEUMOCOCCAL VACCINE POLYVALENT
000064747,2003,MERUVAX II
000064747,2006,MERUVAX II FOR INJECTION
000064749,2003,M-M-R II
000064749,2006,M-M-R II FOR INJECTION
000064826,2009,VARIVAX POWDER FOR INJECTION SOLUTION VARICELLA VIRUS VACCINE LIVE
000064826,2010,VARICELLA VIRUS VACCINE LIVE VARIVAX INJECTION FOR SUSPENSION
000064826,2018,VARICELLA VIRUS VACCINE LIVE
000064827,2004,VARIVAX POWDER FOR INJECTION SOLUTION VARICELLA VIRUS VACCINE LIVE
